ï»¿serial-number,part-number,name,temperature,rx-power,tx-power,current,voltage,power-on-time,ip-address,Label
JAF41836000023F,P9H32A,fc/0/7,59,577.4,421.8,7.64,3339,36221,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,583.1,421,7.63,3344.1,36222,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,574.7,422.2,7.64,3344.7,36225,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,572.3,419.1,7.63,3347.9,36226,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,582,423.5,7.64,3342.1,36227,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,580.7,419.2,7.63,3344.8,36230,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,580.2,420.4,7.64,3340,36234,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,574.5,419.4,7.64,3348,36237,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,559.8,420.1,7.63,3347.6,36240,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,59,575.2,419.5,7.64,3350.3,36246,172.17.101.190,PreWarning
